gid,ken,population
1,北海道,5381733
2,青森県,1308265
3,岩手県,1279594
4,宮城県,2333899
5,秋田県,1023119
6,山形県,1123891
7,福島県,1914039
8,茨城県,2916976
9,栃木県,1974255
10,群馬県,1973115
11,埼玉県,7266534
12,千葉県,6222666
13,東京都,13515269
14,神奈川県,9126197
15,新潟県,2304264
16,富山県,1066328
17,石川県,1154008
18,福井県,786740
19,山梨県,834930
20,長野県,2098804
21,岐阜県,2031903
22,静岡県,3700305
23,愛知県,7483128
24,三重県,1815865
25,滋賀県,1412916
26,京都府,2610353
27,大阪府,8839469
28,兵庫県,5534800
29,奈良県,1364316
30,和歌山県,963579
31,鳥取県,573441
32,島根県,694352
33,岡山県,1921525
34,広島県,2843990
35,山口県,1404729
36,徳島県,755733
37,香川県,976263
38,愛媛県,1385262
39,高知県,728276
40,福岡県,5101556
41,佐賀県,832832
42,長崎県,1377187
43,熊本県,1786170
44,大分県,1166338
45,宮崎県,1104069
46,鹿児島県,1648177
47,沖縄県,1433566

